ROW,Dimension.DATE,Dimension.ADVERTISER_ID,Dimension.ADVERTISER_NAME,Dimension.ORDER_NAME,Dimension.LINE_ITEM_ID,Dimension.LINE_ITEM_NAME,Dimension.LINE_ITEM_TYPE,Dimension.CREATIVE_NAME,Dimension.CREATIVE_TYPE,Dimension.CREATIVE_SIZE,Dimension.MASTER_COMPANION_CREATIVE_ID,Dimension.MASTER_COMPANION_CREATIVE_NAME,Dimension.AD_UNIT_NAME,Dimension.ORDER_ID,Dimension.CREATIVE_ID,Dimension.AD_UNIT_ID,DimensionAttribute.LINE_ITEM_GOAL_QUANTITY,DimensionAttribute.LINE_ITEM_START_DATE_TIME,DimensionAttribute.LINE_ITEM_END_DATE_TIME,DimensionAttribute.LINE_ITEM_CONTRACTED_QUANTITY,DimensionAttribute.LINE_ITEM_SPONSORSHIP_GOAL_PERCENTAGE,DimensionAttribute.CREATIVE_CLICK_THROUGH_URL,DimensionAttribute.MASTER_COMPANION_TYPE,DimensionAttribute.CREATIVE_OR_CREATIVE_SET,Column.AD_SERVER_ALL_REVENUE,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CPD_REVENUE,Column.AD_SERVER_CPM_AND_CPC_REVENUE,Column.AD_SERVER_IMPRESSIONS,Column.VIDEO_VIEWERSHIP_AUTO_PLAYS,Column.VIDEO_VIEWERSHIP_CLICK_TO_PLAYS,Column.VIDEO_VIEWERSHIP_COMPLETE,Column.VIDEO_VIEWERSHIP_FIRST_QUARTILE,Column.VIDEO_VIEWERSHIP_MIDPOINT,Column.VIDEO_VIEWERSHIP_START,Column.VIDEO_VIEWERSHIP_THIRD_QUARTILE,Column.VIDEO_VIEWERSHIP_VIDEO_LENGTH,Column.TOTAL_INVENTORY_LEVEL_ALL_REVENUE,Column.TOTAL_INVENTORY_LEVEL_CLICKS,Column.TOTAL_INVENTORY_LEVEL_CPM_AND_CPC_REVENUE,Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS,Column.TOTAL_LINE_ITEM_LEVEL_ALL_REVENUE,Column.TOTAL_LINE_ITEM_LEVEL_CLICKS,Column.TOTAL_LINE_ITEM_LEVEL_CPM_AND_CPC_REVENUE
102548119667364157873---751815071_2018-05-07_0,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665262531,kidspot.com.au kitchen health and nutrition sponsorship CPM - billboard halfpage roadb (254705),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_Health and Nutrition_V1_May 7th,Third-party,300 x 600,138232584395,300x600 Woolworths Ltd Head Office kidspot.com.au kitchen health and nutrition sponsorship CPM - billboard halfpage roadb (254705),Kidspot,355857671,717201459,311684951,390,2018-05-07T15:59:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,2,0,0,4,0,0,-,-,-,-,-,-,0,2,0,0,0,2,0
102548119667364157873---751815071_2018-05-07_1,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665262531,kidspot.com.au kitchen health and nutrition sponsorship CPM - billboard halfpage roadb (254705),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_Health and Nutrition_V1_May 7th,Third-party,728 x 90,138232584392,728x90 Woolworths Ltd Head Office kidspot.com.au kitchen health and nutrition sponsorship CPM - billboard halfpage roadb (254705),Kidspot,355857671,717201459,311684951,390,2018-05-07T15:59:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Master,Creative set,0,2,0,0,4,0,0,-,-,-,-,-,-,0,2,0,4,0,2,0
102548119667364157873---751815071_2018-05-07_2,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665262531,kidspot.com.au kitchen health and nutrition sponsorship CPM - billboard halfpage roadb (254705),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_Health and Nutrition_V1_May 7th,Third-party,970 x 250,138232584398,970x250 Woolworths Ltd Head Office kidspot.com.au kitchen health and nutrition sponsorship CPM - billboard halfpage roadb (254705),Kidspot,355857671,717201459,311684951,390,2018-05-07T15:59:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,2,0,0,4,0,0,-,-,-,-,-,-,0,2,0,0,0,2,0
102548119667364157873---751815071_2018-05-07_3,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665458624,kidspot.com.au kitchen index sponsorship CPM - billboard halfpage roadb (254706),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kitchen Index_V1_May 7th,Third-party,300 x 600,138232584335,300x600 Woolworths Ltd Head Office kidspot.com.au kitchen index sponsorship CPM - billboard halfpage roadb (254706),Kidspot,355857671,717201432,311684951,390,2018-05-07T15:47:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,1,0,0,5,0,0,-,-,-,-,-,-,0,1,0,0,0,1,0
102548119667364157873---751815071_2018-05-07_4,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665458624,kidspot.com.au kitchen index sponsorship CPM - billboard halfpage roadb (254706),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kitchen Index_V1_May 7th,Third-party,728 x 90,138232584332,728x90 Woolworths Ltd Head Office kidspot.com.au kitchen index sponsorship CPM - billboard halfpage roadb (254706),Kidspot,355857671,717201432,311684951,390,2018-05-07T15:47:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Master,Creative set,0,2,0,0,5,0,0,-,-,-,-,-,-,0,2,0,5,0,2,0
102548119667364157873---751815071_2018-05-07_5,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665458624,kidspot.com.au kitchen index sponsorship CPM - billboard halfpage roadb (254706),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kitchen Index_V1_May 7th,Third-party,970 x 250,138232583669,970x250 Woolworths Ltd Head Office kidspot.com.au kitchen index sponsorship CPM - billboard halfpage roadb (254706),Kidspot,355857671,717201432,311684951,390,2018-05-07T15:47:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,1,0,0,5,0,0,-,-,-,-,-,-,0,1,0,0,0,1,0
102548119667364157873---751815071_2018-05-07_6,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588375,kidspot.com.au CPM - billboard halfpage roadb (254711),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_ROS_V1_May 7th,Third-party,300 x 600,138232508145,300x600 Woolworths Ltd Head Office kidspot.com.au CPM - billboard halfpage roadb (254711),Kidspot,355857671,717199564,311684951,390,2018-05-07T15:51:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,0,0,0,3,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_7,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588375,kidspot.com.au CPM - billboard halfpage roadb (254711),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_ROS_V1_May 7th,Third-party,728 x 90,138232629805,728x90 Woolworths Ltd Head Office kidspot.com.au CPM - billboard halfpage roadb (254711),Kidspot,355857671,717199564,311684951,390,2018-05-07T15:51:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Master,Creative set,0,0,0,0,3,0,0,-,-,-,-,-,-,0,0,0,3,0,0,0
102548119667364157873---751815071_2018-05-07_8,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588375,kidspot.com.au CPM - billboard halfpage roadb (254711),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_ROS_V1_May 7th,Third-party,970 x 250,138232629808,970x250 Woolworths Ltd Head Office kidspot.com.au CPM - billboard halfpage roadb (254711),Kidspot,355857671,717199564,311684951,390,2018-05-07T15:51:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,0,0,0,3,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_9,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588444,kidspot.com.au things to do CPM - billboard halfpage roadb (254708),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_Things to do_V1_May 7th,Third-party,300 x 600,138232508292,300x600 Woolworths Ltd Head Office kidspot.com.au things to do CPM - billboard halfpage roadb (254708),Kidspot,355857671,717199570,311684951,390,2018-05-07T15:53:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,0,0,0,4,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
